name;offset;size;description;bitfield
uncore;0;95360;;0
uncore.hdr.version;0;32;;0
uncore.hdr.version.revision;0;8;;1
uncore.hdr.version.header_type;8;4;;1
uncore.hdr.version.product_id;12;12;;1
uncore.hdr.version.record_type;24;6;;1
uncore.hdr.version.cldic;30;1;;1
uncore.hdr.version.consumed;31;1;;1
uncore.hdr.reason;32;32;;0
uncore.hdr.timestamp;64;64;;0
uncore.hdr.timestamp.low;64;32;;1
uncore.hdr.timestamp.high;96;32;;1
uncore.hdr.record_size;128;32;;0
uncore.hdr.collector_revision;160;32;;0
uncore.hdr.socket_id;192;8;;0
uncore.hdr.rsvd;200;24;;0
uncore.hdr.completion_status;224;32;;0
uncore.mca.bank12.instance2.addr;2400;64;;0
uncore.mca.bank12.instance2.ctl;2464;64;;0
uncore.mca.bank12.instance2.ctl2;2528;64;;0
uncore.mca.bank12.instance2.misc;2592;64;;0
uncore.mca.bank12.instance2.status;2656;64;;0
uncore.mca.bank12.instance8.addr;3008;64;;0
uncore.mca.bank12.instance8.ctl;3072;64;;0
uncore.mca.bank12.instance8.ctl2;3136;64;;0
uncore.mca.bank12.instance8.misc;3200;64;;0
uncore.mca.bank12.instance8.status;3264;64;;0
uncore.mca.bank12.instance3.addr;3520;64;;0
uncore.mca.bank12.instance3.ctl;3584;64;;0
uncore.mca.bank12.instance3.ctl2;3648;64;;0
uncore.mca.bank12.instance3.misc;3712;64;;0
uncore.mca.bank12.instance3.status;3776;64;;0
uncore.mca.bank12.instance9.addr;4032;64;;0
uncore.mca.bank12.instance9.ctl;4096;64;;0
uncore.mca.bank12.instance9.ctl2;4160;64;;0
uncore.mca.bank12.instance9.misc;4224;64;;0
uncore.mca.bank12.instance9.status;4288;64;;0
uncore.mca.bank12.instance10.addr;4640;64;;0
uncore.mca.bank12.instance10.ctl;4704;64;;0
uncore.mca.bank12.instance10.ctl2;4768;64;;0
uncore.mca.bank12.instance10.misc;4832;64;;0
uncore.mca.bank12.instance10.status;4896;64;;0
uncore.mca.bank21.addr;5024;64;;0
uncore.mca.bank21.ctl;5088;64;;0
uncore.mca.bank21.status;5152;64;;0
uncore.mca.bank21.misc;5216;64;;0
uncore.mca.bank21.ctl2;5280;64;;0
uncore.mca.bank12.instance11.addr;5632;64;;0
uncore.mca.bank12.instance11.ctl;5696;64;;0
uncore.mca.bank12.instance11.ctl2;5760;64;;0
uncore.mca.bank12.instance11.misc;5824;64;;0
uncore.mca.bank12.instance11.status;5888;64;;0
uncore.mca.bank6.instance3.ctl;6496;64;;0
uncore.mca.bank6.instance3.status;6560;64;;0
uncore.mca.bank6.instance3.ctl2;6624;64;;0
uncore.mca.bank6.instance3.addr;6816;64;;0
uncore.mca.bank6.instance3.misc;6880;64;;0
uncore.mca.bank22.addr;7712;64;;0
uncore.mca.bank22.ctl;7776;64;;0
uncore.mca.bank22.status;7840;64;;0
uncore.mca.bank22.misc;7904;64;;0
uncore.mca.bank22.ctl2;7968;64;;0
uncore.mca.bank12.instance12.addr;8320;64;;0
uncore.mca.bank12.instance12.ctl;8384;64;;0
uncore.mca.bank12.instance12.ctl2;8448;64;;0
uncore.mca.bank12.instance12.misc;8512;64;;0
uncore.mca.bank12.instance12.status;8576;64;;0
uncore.mca.bank23.addr;8704;64;;0
uncore.mca.bank23.ctl;8768;64;;0
uncore.mca.bank23.status;8832;64;;0
uncore.mca.bank23.misc;8896;64;;0
uncore.mca.bank23.ctl2;8960;64;;0
uncore.mca.bank12.instance13.addr;9312;64;;0
uncore.mca.bank12.instance13.ctl;9376;64;;0
uncore.mca.bank12.instance13.ctl2;9440;64;;0
uncore.mca.bank12.instance13.misc;9504;64;;0
uncore.mca.bank12.instance13.status;9568;64;;0
uncore.mca.bank24.addr;9696;64;;0
uncore.mca.bank24.ctl;9760;64;;0
uncore.mca.bank24.status;9824;64;;0
uncore.mca.bank24.misc;9888;64;;0
uncore.mca.bank24.ctl2;9952;64;;0
uncore.mca.bank11.instance8.addr;10176;64;;0
uncore.mca.bank11.instance8.ctl2;10240;64;;0
uncore.mca.bank11.instance8.ctl;10304;64;;0
uncore.mca.bank11.instance8.misc;10368;64;;0
