name;offset;size;description;bitfield
uncore;0;145888;;0
uncore.hdr.version;0;32;;0
uncore.hdr.version.revision;0;8;;1
uncore.hdr.version.header_type;8;4;;1
uncore.hdr.version.product_id;12;12;;1
uncore.hdr.version.record_type;24;6;;1
uncore.hdr.version.cldic;30;1;;1
uncore.hdr.version.consumed;31;1;;1
uncore.hdr.reason;32;32;;0
uncore.hdr.timestamp;64;64;;0
uncore.hdr.timestamp.low;64;32;;1
uncore.hdr.timestamp.high;96;32;;1
uncore.hdr.record_size;128;32;;0
uncore.hdr.collector_revision;160;32;;0
uncore.hdr.socket_id;192;8;;0
uncore.hdr.rsvd;200;24;;0
uncore.hdr.completion_status;224;32;;0
uncore.mca.bank6.instance1.ctl;122048;64;;0
uncore.mca.bank6.instance1.status;122112;64;;0
uncore.mca.bank6.instance1.ctl2;122176;64;;0
uncore.mca.bank6.instance1.addr;122368;64;;0
uncore.mca.bank6.instance1.misc;122432;64;;0
uncore.mca.bank5.instance2.ctl;139392;64;;0
uncore.mca.bank5.instance2.status;139456;64;;0
uncore.mca.bank5.instance2.misc;139520;64;;0
uncore.mca.bank5.instance2.addr;139584;64;;0
uncore.mca.bank5.instance2.ctl2;139648;64;;0
uncore.mca.bank5.instance3.ctl;140768;64;;0
uncore.mca.bank5.instance3.status;140832;64;;0
uncore.mca.bank5.instance3.misc;140896;64;;0
uncore.mca.bank5.instance3.addr;140960;64;;0
uncore.mca.bank5.instance3.ctl2;141024;64;;0
uncore.mca.bank5.instance4.ctl;142144;64;;0
uncore.mca.bank5.instance4.status;142208;64;;0
uncore.mca.bank5.instance4.misc;142272;64;;0
uncore.mca.bank5.instance4.addr;142336;64;;0
uncore.mca.bank5.instance4.ctl2;142400;64;;0
uncore.mca.bank5.instance5.ctl;143520;64;;0
uncore.mca.bank5.instance5.status;143584;64;;0
uncore.mca.bank5.instance5.misc;143648;64;;0
uncore.mca.bank5.instance5.addr;143712;64;;0
uncore.mca.bank5.instance5.ctl2;143776;64;;0
